118.224956 , 24.716356 | 118.213716153 , 24.7131786655
118.001578 , 24.5982 | 117.990187157 , 24.5952994467
118.288482 , 24.656832 | 118.277253412 , 24.6535803552
118.152794 , 24.717775 | 118.141348285 , 24.7146938883
118.036489 , 24.48854 | 118.025028525 , 24.4854197254
118.124625 , 24.703039 | 118.113111922 , 24.700010476
118.015664 , 24.529685 | 118.004212262 , 24.5268192216
118.120806 , 24.490215 | 118.109281677 , 24.4871227078
118.111737 , 24.532354 | 118.100227464 , 24.5291222079
118.101737 , 24.523594 | 118.090250556 , 24.5201791992
118.16131 , 24.515232 | 118.149897045 , 24.5120104406
118.151003 , 24.483155 | 118.139554679 , 24.4800829481
